drug0_conc,drug0_name,drug1_conc,drug1_name,drug2_conc,drug2_name,drug3_conc,drug3_name,drug4_conc,drug4_name,drug5_conc,drug5_name,drug6_conc,drug6_name,drug7_conc,drug7_name,drug8_conc,drug8_name,drug9_conc,drug9_name,sample,variable,value
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,5.7978,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.7809022111836508
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,6.7969,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.6356399512096333
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,7.9558,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5046702753265556
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,9.2743,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.4312782264130024
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,10.872,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,4.772533188629003e-11
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,12.709,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,4.8409413144669286e-12
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,14.865,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.0
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0069333,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9167688406907194
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0136,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,1.1107832196753942
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.026666,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8946799219734096
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.053332,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.7432451736951711
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.10666,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5575659474521423
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.20798,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.412338357626448
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.41058,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.3259233192741508
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.81034,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.2290745635106314
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,1.604,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.15645874239009644
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,3.1683,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.042985113792568
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.004,TMP,0.0,PHL,EC,norm_gr_1,0.9166582226883289
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0093333,TMP,0.0,PHL,EC,norm_gr_1,0.955993691742568
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.022667,TMP,0.0,PHL,EC,norm_gr_1,0.9214319915242345
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.053333,TMP,0.0,PHL,EC,norm_gr_1,0.7457181746695746
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.128,TMP,0.0,PHL,EC,norm_gr_1,0.6935189705958614
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.29332,TMP,0.0,PHL,EC,norm_gr_1,0.4480672854700102
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.71995,TMP,0.0,PHL,EC,norm_gr_1,0.32889784345302
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,1.7597,TMP,0.0,PHL,EC,norm_gr_1,0.3720061978183385
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,4.2116,TMP,0.0,PHL,EC,norm_gr_1,0.0059704168348841125
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,10.096,TMP,0.0,PHL,EC,norm_gr_1,1.2983036418282026e-10
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,3.021,PHL,EC,norm_gr_1,0.8422896113344437
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,3.476,PHL,EC,norm_gr_1,0.6996127805546462
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,4.0027,PHL,EC,norm_gr_1,0.6413947193622725
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,4.6009,PHL,EC,norm_gr_1,0.5584156746548505
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,5.3026,PHL,EC,norm_gr_1,0.5335262306381587
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,6.0996,PHL,EC,norm_gr_1,0.370108134555764
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,7.0155,PHL,EC,norm_gr_1,0.3350017379377111
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,8.0742,PHL,EC,norm_gr_1,0.3580149140294451
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,9.2991,PHL,EC,norm_gr_1,0.0009956510613743153
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,10.698,PHL,EC,norm_gr_1,0.011218182161775144
1.7065,RIF,0.053999,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9584758432497292
1.9731,RIF,0.084665,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8126096120122769
2.2931,RIF,0.13333,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5623496626753702
