drug0_conc,drug0_name,drug1_conc,drug1_name,drug2_conc,drug2_name,drug3_conc,drug3_name,drug4_conc,drug4_name,drug5_conc,drug5_name,drug6_conc,drug6_name,drug7_conc,drug7_name,drug8_conc,drug8_name,drug9_conc,drug9_name,sample,variable,value,bliss,num_drugs,loewe
2.7196,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0079987,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.2948968951530907,0.23401578558334113,2.0,-0.13621888082849568
3.1462,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0091983,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.1345348218576881,0.19002621315873802,2.0,-0.1102406765933383
3.6793,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.010531,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.0,0.15329392540950287,2.0,inf
4.3191,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.011997,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.0158212502680605,0.040960032736730774,2.0,-0.03623080533166878
5.0121,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.01373,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.002911467287432175,0.015261472325487408,2.0,0.052643658603819685
5.8649,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.015728,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.011323728044453247,-0.006355680199126386,2.0,-0.13228904907939246
6.8243,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.017994,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.01308919605827814,-0.011776603793100261,2.0,-0.20781553321883747
1.7065,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,3.5991,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9852345830116689,-0.05766785417571496,2.0,-0.3799014228260306
1.9731,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,4.2388,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8753511653497911,-0.02576988976197625,2.0,-0.2563185968653402
2.2931,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,4.9584,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8334461762898693,-0.1229792371184899,2.0,-0.2943438845045451
2.7196,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,5.7978,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.6627583221853682,-0.17203978694755978,2.0,-0.2860500728769866
3.1462,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,6.7969,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5399137130278363,-0.272316320217281,2.0,-0.3086184483577485
3.6793,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,7.9558,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.4730849987573115,-0.3677296032369715,2.0,-0.3541142738181564
4.3191,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,9.2743,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.012081523171065792,0.01932545746981129,2.0,-0.05826606963049871
5.0121,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,10.872,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.012464043055382387,-0.004512829475892618,2.0,-0.12779917988896486
5.8649,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,12.709,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.008050411750257981,-0.0062859567031626744,2.0,-0.15841499049145696
